distrito, concelho, freguesia, ano e mes, preco_m2
Lisboa,Lisboa,Ajuda,Dezembro 2019,4.251
Lisboa,Lisboa,Ajuda,Novembro 2019,4.230
Lisboa,Lisboa,Ajuda,Outubro 2019,4.128
Lisboa,Lisboa,Ajuda,Setembro 2019,4.007
Lisboa,Lisboa,Ajuda,Agosto 2019,4.037
Lisboa,Lisboa,Ajuda,Julho 2019,4.343
Lisboa,Lisboa,Ajuda,Junho 2019,4.110
Lisboa,Lisboa,Ajuda,Maio 2019,4.076
Lisboa,Lisboa,Ajuda,Abril 2019,3.994
Lisboa,Lisboa,Ajuda,Março 2019,4.080
Lisboa,Lisboa,Ajuda,Fevereiro 2019,4.001
Lisboa,Lisboa,Ajuda,Janeiro 2019,3.952
Lisboa,Lisboa,Ajuda,Dezembro 2018,3.887
Lisboa,Lisboa,Ajuda,Novembro 2018,3.838
Lisboa,Lisboa,Ajuda,Outubro 2018,3.857
Lisboa,Lisboa,Ajuda,Setembro 2018,3.965
Lisboa,Lisboa,Ajuda,Agosto 2018,4.129
Lisboa,Lisboa,Ajuda,Julho 2018,4.281
Lisboa,Lisboa,Ajuda,Junho 2018,4.100
Lisboa,Lisboa,Ajuda,Maio 2018,3.905
Lisboa,Lisboa,Ajuda,Abril 2018,3.666
Lisboa,Lisboa,Ajuda,Março 2018,3.581
Lisboa,Lisboa,Ajuda,Fevereiro 2018,3.621
Lisboa,Lisboa,Ajuda,Janeiro 2018,3.559
Lisboa,Lisboa,Ajuda,Dezembro 2017,3.567
Lisboa,Lisboa,Ajuda,Novembro 2017,3.405
Lisboa,Lisboa,Ajuda,Outubro 2017,3.151
Lisboa,Lisboa,Ajuda,Setembro 2017,3.219
Lisboa,Lisboa,Ajuda,Agosto 2017,3.316
Lisboa,Lisboa,Ajuda,Julho 2017,2.925
Lisboa,Lisboa,Ajuda,Junho 2017,2.841
Lisboa,Lisboa,Ajuda,Maio 2017,2.889
Lisboa,Lisboa,Ajuda,Abril 2017,2.748
Lisboa,Lisboa,Ajuda,Março 2017,2.604
Lisboa,Lisboa,Ajuda,Fevereiro 2017,2.411
Lisboa,Lisboa,Ajuda,Janeiro 2017,2.533
Lisboa,Lisboa,Ajuda,Dezembro 2016,2.373
Lisboa,Lisboa,Ajuda,Novembro 2016,2.311
Lisboa,Lisboa,Ajuda,Outubro 2016,2.293
Lisboa,Lisboa,Ajuda,Setembro 2016,2.242
Lisboa,Lisboa,Ajuda,Agosto 2016,2.025
Lisboa,Lisboa,Ajuda,Julho 2016,1.934
Lisboa,Lisboa,Ajuda,Junho 2016,1.881
Lisboa,Lisboa,Ajuda,Maio 2016,1.884
Lisboa,Lisboa,Ajuda,Abril 2016,1.897
Lisboa,Lisboa,Ajuda,Março 2016,1.824
Lisboa,Lisboa,Ajuda,Fevereiro 2016,1.783
Lisboa,Lisboa,Ajuda,Janeiro 2016,1.644
Lisboa,Lisboa,Ajuda,Dezembro 2015,1.665
Lisboa,Lisboa,Ajuda,Novembro 2015,1.669
Lisboa,Lisboa,Ajuda,Outubro 2015,1.623
Lisboa,Lisboa,Ajuda,Setembro 2015,1.570
Lisboa,Lisboa,Ajuda,Agosto 2015,1.516
Lisboa,Lisboa,Ajuda,Julho 2015,1.546
Lisboa,Lisboa,Ajuda,Junho 2015,n.a.
Lisboa,Lisboa,Ajuda,Maio 2015,n.a.
Lisboa,Lisboa,Ajuda,Abril 2015,n.a.
Lisboa,Lisboa,Ajuda,Março 2015,n.a.
Lisboa,Lisboa,Ajuda,Fevereiro 2015,n.a.
Lisboa,Lisboa,Ajuda,Janeiro 2015,n.a.
Lisboa,Lisboa,Alcântara,Dezembro 2019,4.364
Lisboa,Lisboa,Alcântara,Novembro 2019,4.105
Lisboa,Lisboa,Alcântara,Outubro 2019,3.958
Lisboa,Lisboa,Alcântara,Setembro 2019,3.782
Lisboa,Lisboa,Alcântara,Agosto 2019,3.740
Lisboa,Lisboa,Alcântara,Julho 2019,3.716
Lisboa,Lisboa,Alcântara,Junho 2019,3.636
Lisboa,Lisboa,Alcântara,Maio 2019,3.578
Lisboa,Lisboa,Alcântara,Abril 2019,3.537
Lisboa,Lisboa,Alcântara,Março 2019,3.610
Lisboa,Lisboa,Alcântara,Fevereiro 2019,3.621
Lisboa,Lisboa,Alcântara,Janeiro 2019,3.553
Lisboa,Lisboa,Alcântara,Dezembro 2018,3.623
Lisboa,Lisboa,Alcântara,Novembro 2018,3.662
Lisboa,Lisboa,Alcântara,Outubro 2018,3.536
Lisboa,Lisboa,Alcântara,Setembro 2018,3.440
Lisboa,Lisboa,Alcântara,Agosto 2018,3.535
Lisboa,Lisboa,Alcântara,Julho 2018,3.559
Lisboa,Lisboa,Alcântara,Junho 2018,3.470
Lisboa,Lisboa,Alcântara,Maio 2018,3.407
Lisboa,Lisboa,Alcântara,Abril 2018,3.677
Lisboa,Lisboa,Alcântara,Março 2018,3.733
Lisboa,Lisboa,Alcântara,Fevereiro 2018,3.548
Lisboa,Lisboa,Alcântara,Janeiro 2018,3.951
Lisboa,Lisboa,Alcântara,Dezembro 2017,4.204
Lisboa,Lisboa,Alcântara,Novembro 2017,4.150
Lisboa,Lisboa,Alcântara,Outubro 2017,4.138
Lisboa,Lisboa,Alcântara,Setembro 2017,4.256
Lisboa,Lisboa,Alcântara,Agosto 2017,4.202
Lisboa,Lisboa,Alcântara,Julho 2017,2.827
Lisboa,Lisboa,Alcântara,Junho 2017,2.855
Lisboa,Lisboa,Alcântara,Maio 2017,2.692
Lisboa,Lisboa,Alcântara,Abril 2017,2.634
Lisboa,Lisboa,Alcântara,Março 2017,2.574
Lisboa,Lisboa,Alcântara,Fevereiro 2017,2.662
Lisboa,Lisboa,Alcântara,Janeiro 2017,2.789
Lisboa,Lisboa,Alcântara,Dezembro 2016,2.700
Lisboa,Lisboa,Alcântara,Novembro 2016,2.704
Lisboa,Lisboa,Alcântara,Outubro 2016,2.697
Lisboa,Lisboa,Alcântara,Setembro 2016,2.794
Lisboa,Lisboa,Alcântara,Agosto 2016,2.843
Lisboa,Lisboa,Alcântara,Julho 2016,2.843
Lisboa,Lisboa,Alcântara,Junho 2016,2.942
Lisboa,Lisboa,Alcântara,Maio 2016,2.924
Lisboa,Lisboa,Alcântara,Abril 2016,2.954
Lisboa,Lisboa,Alcântara,Março 2016,3.041
Lisboa,Lisboa,Alcântara,Fevereiro 2016,3.123
Lisboa,Lisboa,Alcântara,Janeiro 2016,3.060
Lisboa,Lisboa,Alcântara,Dezembro 2015,2.877
Lisboa,Lisboa,Alcântara,Novembro 2015,2.638
Lisboa,Lisboa,Alcântara,Outubro 2015,2.734
Lisboa,Lisboa,Alcântara,Setembro 2015,2.513
Lisboa,Lisboa,Alcântara,Agosto 2015,2.564
