distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Dezembro 2019,1.367
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Novembro 2019,1.367
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Outubro 2019,1.353
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Setembro 2019,1.361
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Agosto 2019,1.365
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Julho 2019,1.356
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Junho 2019,1.304
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Maio 2019,1.295
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Abril 2019,1.251
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Março 2019,1.234
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Fevereiro 2019,1.226
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Janeiro 2019,1.252
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Dezembro 2018,1.248
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Novembro 2018,1.244
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Outubro 2018,1.178
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Setembro 2018,1.120
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Agosto 2018,1.097
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Julho 2018,1.083
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Junho 2018,1.072
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Maio 2018,1.050
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Abril 2018,1.028
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Março 2018,1.018
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Fevereiro 2018,1.007
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Janeiro 2018,986
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Dezembro 2017,970
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Novembro 2017,973
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Outubro 2017,961
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Setembro 2017,935
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Agosto 2017,919
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Julho 2017,932
Porto,Matosinhos,Custóias - Leça do Balio - Guifões,Junho 2017,942
