distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Dezembro 2019,3.213
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Novembro 2019,3.198
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Outubro 2019,3.201
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Setembro 2019,3.154
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Agosto 2019,3.190
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Julho 2019,3.212
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Junho 2019,3.194
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Maio 2019,3.182
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Abril 2019,3.159
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Março 2019,3.097
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Fevereiro 2019,3.059
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Janeiro 2019,3.133
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Dezembro 2018,3.068
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Novembro 2018,3.041
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Outubro 2018,2.996
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Setembro 2018,2.963
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Agosto 2018,2.925
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Julho 2018,2.911
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Junho 2018,2.864
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Maio 2018,2.826
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Abril 2018,2.781
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Março 2018,2.712
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Fevereiro 2018,2.703
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Janeiro 2018,2.658
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Dezembro 2017,2.628
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Novembro 2017,2.584
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Outubro 2017,2.595
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Setembro 2017,2.622
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Agosto 2017,2.539
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Julho 2017,2.429
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Junho 2017,2.411
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Maio 2017,2.382
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Abril 2017,2.340
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Março 2017,2.363
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Fevereiro 2017,2.325
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Janeiro 2017,2.320
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Dezembro 2016,2.323
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Novembro 2016,2.299
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Outubro 2016,2.249
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Setembro 2016,2.223
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Agosto 2016,2.257
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Julho 2016,2.248
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Junho 2016,2.198
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Maio 2016,2.176
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Abril 2016,2.182
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Março 2016,2.158
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Fevereiro 2016,2.184
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Janeiro 2016,2.091
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Dezembro 2015,2.098
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Novembro 2015,2.107
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Outubro 2015,2.095
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Setembro 2015,2.085
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Agosto 2015,2.144
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Julho 2015,2.115
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Junho 2015,2.038
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Maio 2015,2.032
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Abril 2015,1.886
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Março 2015,1.913
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Fevereiro 2015,1.901
Porto,Porto,Aldoar - Foz do Douro - Nevogilde,Janeiro 2015,1.970
Porto,Porto,Bonfim,Dezembro 2019,2.653
Porto,Porto,Bonfim,Novembro 2019,2.639
Porto,Porto,Bonfim,Outubro 2019,2.649
Porto,Porto,Bonfim,Setembro 2019,2.650
Porto,Porto,Bonfim,Agosto 2019,2.623
Porto,Porto,Bonfim,Julho 2019,2.584
Porto,Porto,Bonfim,Junho 2019,2.590
Porto,Porto,Bonfim,Maio 2019,2.637
Porto,Porto,Bonfim,Abril 2019,2.631
Porto,Porto,Bonfim,Março 2019,2.565
Porto,Porto,Bonfim,Fevereiro 2019,2.543
Porto,Porto,Bonfim,Janeiro 2019,2.508
Porto,Porto,Bonfim,Dezembro 2018,2.509
Porto,Porto,Bonfim,Novembro 2018,2.528
Porto,Porto,Bonfim,Outubro 2018,2.567
Porto,Porto,Bonfim,Setembro 2018,2.568
Porto,Porto,Bonfim,Agosto 2018,2.601
Porto,Porto,Bonfim,Julho 2018,2.591
Porto,Porto,Bonfim,Junho 2018,2.535
Porto,Porto,Bonfim,Maio 2018,2.420
Porto,Porto,Bonfim,Abril 2018,2.349
Porto,Porto,Bonfim,Março 2018,2.261
Porto,Porto,Bonfim,Fevereiro 2018,2.249
Porto,Porto,Bonfim,Janeiro 2018,2.198
Porto,Porto,Bonfim,Dezembro 2017,2.147
Porto,Porto,Bonfim,Novembro 2017,2.012
Porto,Porto,Bonfim,Outubro 2017,1.928
Porto,Porto,Bonfim,Setembro 2017,1.820
Porto,Porto,Bonfim,Agosto 2017,1.735
Porto,Porto,Bonfim,Julho 2017,1.584
Porto,Porto,Bonfim,Junho 2017,1.511
Porto,Porto,Bonfim,Maio 2017,1.478
Porto,Porto,Bonfim,Abril 2017,1.451
Porto,Porto,Bonfim,Março 2017,1.393
Porto,Porto,Bonfim,Fevereiro 2017,1.366
Porto,Porto,Bonfim,Janeiro 2017,1.348
Porto,Porto,Bonfim,Dezembro 2016,1.337
Porto,Porto,Bonfim,Novembro 2016,1.324
Porto,Porto,Bonfim,Outubro 2016,1.303
Porto,Porto,Bonfim,Setembro 2016,1.312
Porto,Porto,Bonfim,Agosto 2016,1.275
Porto,Porto,Bonfim,Julho 2016,1.250
Porto,Porto,Bonfim,Junho 2016,1.216
Porto,Porto,Bonfim,Maio 2016,1.200
Porto,Porto,Bonfim,Abril 2016,1.238
Porto,Porto,Bonfim,Março 2016,1.252
Porto,Porto,Bonfim,Fevereiro 2016,1.206
Porto,Porto,Bonfim,Janeiro 2016,1.156
Porto,Porto,Bonfim,Dezembro 2015,1.095
Porto,Porto,Bonfim,Novembro 2015,1.088
Porto,Porto,Bonfim,Outubro 2015,1.105
Porto,Porto,Bonfim,Setembro 2015,1.178
Porto,Porto,Bonfim,Agosto 2015,1.193
Porto,Porto,Bonfim,Julho 2015,1.117
Porto,Porto,Bonfim,Junho 2015,1.105
Porto,Porto,Bonfim,Maio 2015,1.094
Porto,Porto,Bonfim,Abril 2015,1.100
Porto,Porto,Bonfim,Março 2015,1.075
Porto,Porto,Bonfim,Fevereiro 2015,1.089
Porto,Porto,Bonfim,Janeiro 2015,1.097
Porto,Porto,Campanhã,Dezembro 2019,2.089
Porto,Porto,Campanhã,Novembro 2019,2.056
Porto,Porto,Campanhã,Outubro 2019,2.044
Porto,Porto,Campanhã,Setembro 2019,2.033
Porto,Porto,Campanhã,Agosto 2019,2.013
Porto,Porto,Campanhã,Julho 2019,2.005
Porto,Porto,Campanhã,Junho 2019,1.986
Porto,Porto,Campanhã,Maio 2019,1.952
Porto,Porto,Campanhã,Abril 2019,1.869
Porto,Porto,Campanhã,Março 2019,1.865
Porto,Porto,Campanhã,Fevereiro 2019,1.815
Porto,Porto,Campanhã,Janeiro 2019,1.773
Porto,Porto,Campanhã,Dezembro 2018,1.744
Porto,Porto,Campanhã,Novembro 2018,1.686
Porto,Porto,Campanhã,Outubro 2018,1.638
Porto,Porto,Campanhã,Setembro 2018,1.579
Porto,Porto,Campanhã,Agosto 2018,1.455
Porto,Porto,Campanhã,Julho 2018,1.400
Porto,Porto,Campanhã,Junho 2018,1.374
Porto,Porto,Campanhã,Maio 2018,1.343
Porto,Porto,Campanhã,Abril 2018,1.294
Porto,Porto,Campanhã,Março 2018,1.319
Porto,Porto,Campanhã,Fevereiro 2018,1.293
Porto,Porto,Campanhã,Janeiro 2018,1.220
Porto,Porto,Campanhã,Dezembro 2017,1.205
Porto,Porto,Campanhã,Novembro 2017,1.157
Porto,Porto,Campanhã,Outubro 2017,1.115
Porto,Porto,Campanhã,Setembro 2017,1.087
Porto,Porto,Campanhã,Agosto 2017,1.078
Porto,Porto,Campanhã,Julho 2017,1.079
Porto,Porto,Campanhã,Junho 2017,1.068
Porto,Porto,Campanhã,Maio 2017,1.060
Porto,Porto,Campanhã,Abril 2017,1.057
Porto,Porto,Campanhã,Março 2017,1.063
Porto,Porto,Campanhã,Fevereiro 2017,1.049
Porto,Porto,Campanhã,Janeiro 2017,1.046
Porto,Porto,Campanhã,Dezembro 2016,1.050
Porto,Porto,Campanhã,Novembro 2016,964
Porto,Porto,Campanhã,Outubro 2016,921
Porto,Porto,Campanhã,Setembro 2016,915
Porto,Porto,Campanhã,Agosto 2016,900
Porto,Porto,Campanhã,Julho 2016,870
Porto,Porto,Campanhã,Junho 2016,839
Porto,Porto,Campanhã,Maio 2016,840
Porto,Porto,Campanhã,Abril 2016,848
Porto,Porto,Campanhã,Março 2016,883
Porto,Porto,Campanhã,Fevereiro 2016,951
Porto,Porto,Campanhã,Janeiro 2016,902
Porto,Porto,Campanhã,Dezembro 2015,840
Porto,Porto,Campanhã,Novembro 2015,843
Porto,Porto,Campanhã,Outubro 2015,846
Porto,Porto,Campanhã,Setembro 2015,862
Porto,Porto,Campanhã,Agosto 2015,887
Porto,Porto,Campanhã,Julho 2015,867
Porto,Porto,Campanhã,Junho 2015,845
Porto,Porto,Campanhã,Maio 2015,841
Porto,Porto,Campanhã,Abril 2015,851
Porto,Porto,Campanhã,Março 2015,826
Porto,Porto,Campanhã,Fevereiro 2015,847
Porto,Porto,Campanhã,Janeiro 2015,868
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Dezembro 2019,3.267
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Novembro 2019,3.270
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Outubro 2019,3.272
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Setembro 2019,3.266
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Agosto 2019,3.261
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Julho 2019,3.257
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Junho 2019,3.232
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Maio 2019,3.223
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Abril 2019,3.190
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Março 2019,3.168
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Fevereiro 2019,3.164
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Janeiro 2019,3.135
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Dezembro 2018,3.092
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Novembro 2018,3.011
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Outubro 2018,2.993
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Setembro 2018,2.946
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Agosto 2018,2.962
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Julho 2018,2.960
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Junho 2018,2.937
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Maio 2018,2.870
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Abril 2018,2.840
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Março 2018,2.814
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Fevereiro 2018,2.783
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Janeiro 2018,2.719
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Dezembro 2017,2.653
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Novembro 2017,2.627
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Outubro 2017,2.580
Porto,Porto,Cedofeita - Santo Ildefonso - Sé - Miragaia - São Nicolau - Vitória,Setembro 2017,2.491
