distrito, concelho, freguesia, ano e mes, preco_m2
Porto,Vila Nova de Gaia,Arcozelo,Dezembro 2019,1.241
Porto,Vila Nova de Gaia,Arcozelo,Novembro 2019,1.281
Porto,Vila Nova de Gaia,Arcozelo,Outubro 2019,1.293
Porto,Vila Nova de Gaia,Arcozelo,Setembro 2019,1.277
Porto,Vila Nova de Gaia,Arcozelo,Agosto 2019,1.277
Porto,Vila Nova de Gaia,Arcozelo,Julho 2019,1.261
Porto,Vila Nova de Gaia,Arcozelo,Junho 2019,1.216
Porto,Vila Nova de Gaia,Arcozelo,Maio 2019,1.212
Porto,Vila Nova de Gaia,Arcozelo,Abril 2019,1.215
Porto,Vila Nova de Gaia,Arcozelo,Março 2019,1.214
Porto,Vila Nova de Gaia,Arcozelo,Fevereiro 2019,1.209
Porto,Vila Nova de Gaia,Arcozelo,Janeiro 2019,1.192
Porto,Vila Nova de Gaia,Arcozelo,Dezembro 2018,1.146
Porto,Vila Nova de Gaia,Arcozelo,Novembro 2018,1.105
Porto,Vila Nova de Gaia,Arcozelo,Outubro 2018,1.106
Porto,Vila Nova de Gaia,Arcozelo,Setembro 2018,1.103
Porto,Vila Nova de Gaia,Arcozelo,Agosto 2018,1.107
Porto,Vila Nova de Gaia,Arcozelo,Julho 2018,1.105
Porto,Vila Nova de Gaia,Arcozelo,Junho 2018,1.080
Porto,Vila Nova de Gaia,Arcozelo,Maio 2018,1.040
Porto,Vila Nova de Gaia,Arcozelo,Abril 2018,1.016
Porto,Vila Nova de Gaia,Arcozelo,Março 2018,993
Porto,Vila Nova de Gaia,Arcozelo,Fevereiro 2018,1.006
Porto,Vila Nova de Gaia,Arcozelo,Janeiro 2018,1.014
Porto,Vila Nova de Gaia,Arcozelo,Dezembro 2017,1.023
Porto,Vila Nova de Gaia,Arcozelo,Novembro 2017,1.019
Porto,Vila Nova de Gaia,Arcozelo,Outubro 2017,988
Porto,Vila Nova de Gaia,Arcozelo,Setembro 2017,996
Porto,Vila Nova de Gaia,Arcozelo,Agosto 2017,1.000
Porto,Vila Nova de Gaia,Arcozelo,Julho 2017,970
Porto,Vila Nova de Gaia,Arcozelo,Junho 2017,965
Porto,Vila Nova de Gaia,Arcozelo,Maio 2017,947
Porto,Vila Nova de Gaia,Arcozelo,Abril 2017,963
Porto,Vila Nova de Gaia,Arcozelo,Março 2017,956
Porto,Vila Nova de Gaia,Arcozelo,Fevereiro 2017,936
Porto,Vila Nova de Gaia,Arcozelo,Janeiro 2017,926
Porto,Vila Nova de Gaia,Arcozelo,Dezembro 2016,926
Porto,Vila Nova de Gaia,Arcozelo,Novembro 2016,883
Porto,Vila Nova de Gaia,Arcozelo,Outubro 2016,874
Porto,Vila Nova de Gaia,Arcozelo,Setembro 2016,871
Porto,Vila Nova de Gaia,Arcozelo,Agosto 2016,839
Porto,Vila Nova de Gaia,Arcozelo,Julho 2016,834
Porto,Vila Nova de Gaia,Arcozelo,Junho 2016,836
Porto,Vila Nova de Gaia,Arcozelo,Maio 2016,832
Porto,Vila Nova de Gaia,Arcozelo,Abril 2016,859
Porto,Vila Nova de Gaia,Arcozelo,Março 2016,860
Porto,Vila Nova de Gaia,Arcozelo,Fevereiro 2016,886
Porto,Vila Nova de Gaia,Arcozelo,Janeiro 2016,891
Porto,Vila Nova de Gaia,Arcozelo,Dezembro 2015,900
Porto,Vila Nova de Gaia,Arcozelo,Novembro 2015,888
Porto,Vila Nova de Gaia,Arcozelo,Outubro 2015,869
Porto,Vila Nova de Gaia,Arcozelo,Setembro 2015,876
Porto,Vila Nova de Gaia,Arcozelo,Agosto 2015,865
Porto,Vila Nova de Gaia,Arcozelo,Julho 2015,874
Porto,Vila Nova de Gaia,Arcozelo,Junho 2015,866
Porto,Vila Nova de Gaia,Arcozelo,Maio 2015,867
Porto,Vila Nova de Gaia,Arcozelo,Abril 2015,857
Porto,Vila Nova de Gaia,Arcozelo,Março 2015,841
Porto,Vila Nova de Gaia,Arcozelo,Fevereiro 2015,853
Porto,Vila Nova de Gaia,Arcozelo,Janeiro 2015,856
Porto,Vila Nova de Gaia,Avintes,Dezembro 2019,1.076
Porto,Vila Nova de Gaia,Avintes,Novembro 2019,1.064
Porto,Vila Nova de Gaia,Avintes,Outubro 2019,1.050
Porto,Vila Nova de Gaia,Avintes,Setembro 2019,1.024
Porto,Vila Nova de Gaia,Avintes,Agosto 2019,1.022
Porto,Vila Nova de Gaia,Avintes,Julho 2019,1.030
Porto,Vila Nova de Gaia,Avintes,Junho 2019,1.027
Porto,Vila Nova de Gaia,Avintes,Maio 2019,1.032
Porto,Vila Nova de Gaia,Avintes,Abril 2019,1.029
Porto,Vila Nova de Gaia,Avintes,Março 2019,990
Porto,Vila Nova de Gaia,Avintes,Fevereiro 2019,1.009
Porto,Vila Nova de Gaia,Avintes,Janeiro 2019,1.010
Porto,Vila Nova de Gaia,Avintes,Dezembro 2018,1.009
Porto,Vila Nova de Gaia,Avintes,Novembro 2018,982
Porto,Vila Nova de Gaia,Avintes,Outubro 2018,870
